City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
323,Wagar,SD,79.12,clear sky,16.1525,36.2032,
324,Buala,SB,82.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
326,Gazojak,TM,84.83,broken clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
332,Mahina,PF,84.0,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
344,Gamba,GA,75.85,overcast clouds,-2.65,10.0,
345,Nhulunbuy,AU,86.0,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
346,Dubbo,AU,75.2,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
366,Itaueira,BR,78.46,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
386,Pedasi,PA,80.4,overcast clouds,7.5333,-80.0333,Selina Pedasi
387,Djibo,BF,86.43,few clouds,14.1022,-1.6306,Centre Des Ressources DPENA
389,Ati,TD,76.73,broken clouds,13.2154,18.3353,
392,Komsomolskiy,UZ,77.0,clear sky,40.4272,71.7189,Ikathouse
399,Umm Lajj,SA,81.34,clear sky,25.0213,37.2685,Moon light Furnished Units
401,Arawa,PG,82.99,light rain,-6.2132,155.5367,Coastline Guest House
405,Katherine,AU,89.6,broken clouds,-14.4667,132.2667,Pine Tree Motel
409,Mogadishu,SO,83.64,few clouds,2.0371,45.3438,Hotel Juba
410,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
411,Palmas,BR,77.0,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
418,Kharan,PK,88.29,scattered clouds,28.5833,65.4167,Dil Aram Bangla
420,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
421,Eydhafushi,MV,83.98,broken clouds,5.1033,73.0708,Soneva Fushi
427,Lafia,NG,79.65,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
441,Catuday,PH,81.57,broken clouds,16.2923,119.8062,GResort
442,Moranbah,AU,76.62,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
448,Baculin,PH,83.98,broken clouds,7.4525,126.5842,Shovy's Cove
458,Kattivakkam,IN,87.8,haze,13.2167,80.3167,Raj's villa
462,Port Augusta,AU,75.99,clear sky,-32.5,137.7667,Majestic Oasis Apartments
466,Nabire,ID,87.62,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
470,Labuhan,ID,84.61,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
472,Mandera,KE,80.4,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
