City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
186,Lethem,GY,3.3803,-59.7968,78.13,74,94,6.4,overcast clouds
187,Geraldton,AU,-28.7667,114.6,78.8,57,100,8.05,overcast clouds
188,Erenhot,CN,43.6475,111.9767,40.21,16,0,16.49,clear sky
189,Provideniya,RU,64.3833,-173.3,33.8,60,0,6.71,clear sky
190,Severo-Kurilsk,RU,50.6789,156.125,37.81,83,96,4.18,overcast clouds
191,Pacific Grove,US,36.6177,-121.9166,57.0,83,6,3.58,clear sky
192,Portobelo,PA,9.55,-79.65,77.0,81,100,32.01,overcast clouds
193,Gat,IL,31.61,34.7642,64.99,47,0,0.89,clear sky
194,Uarini,BR,-2.99,-65.1083,72.5,99,100,1.68,overcast clouds
195,Pevek,RU,69.7008,170.3133,23.99,77,99,5.35,overcast clouds
196,Hobyo,SO,5.3505,48.5268,83.88,67,10,7.27,clear sky
197,Tual,ID,-5.6667,132.75,83.34,72,79,6.38,light rain
198,Sisimiut,GL,66.9395,-53.6735,35.96,64,100,8.72,overcast clouds
199,Sobolevo,RU,54.4299,31.8996,36.79,85,100,5.1,overcast clouds
200,Sept-Iles,CA,50.2001,-66.3821,41.0,75,75,6.91,broken clouds
201,Ishigaki,JP,24.3448,124.1572,71.6,88,75,14.97,broken clouds
202,Yaan,NG,7.3833,8.5667,77.65,73,100,6.26,overcast clouds
203,Halifax,CA,44.6453,-63.5724,48.2,76,90,5.75,overcast clouds
204,Laguna,US,38.421,-121.4238,78.8,25,1,9.22,clear sky
205,Simao,CN,22.7886,100.9748,73.0,64,40,3.96,scattered clouds
206,Vila Velha,BR,-20.3297,-40.2925,73.4,83,75,3.44,broken clouds
207,Farmington,US,36.7281,-108.2187,59.0,36,75,14.97,broken clouds
208,Pleshanovo,RU,52.8333,53.4833,39.49,82,7,6.82,clear sky
209,Varhaug,NO,58.6147,5.6457,36.0,81,19,5.19,few clouds
210,Barcelona,ES,41.3888,2.159,60.01,88,75,4.61,broken clouds
211,Kenai,US,60.5544,-151.2583,55.4,33,90,6.91,overcast clouds
212,Paranapanema,BR,-23.3886,-48.7228,57.2,96,43,8.23,scattered clouds
213,Oussouye,SN,12.485,-16.5469,73.4,88,0,6.91,clear sky
214,Mon,IN,26.75,95.1,90.23,27,0,3.96,clear sky
215,Ponta Do Sol,PT,32.6667,-17.1,57.99,82,65,1.01,broken clouds
216,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,55,0,8.05,clear sky
217,Khani,GE,41.9563,42.9566,53.6,82,0,10.36,clear sky
218,Panaba,MX,21.2833,-88.2667,77.5,69,5,13.09,clear sky
219,Iquique,CL,-20.2208,-70.1431,64.4,68,0,3.44,clear sky
220,Georgetown,MY,5.4112,100.3354,89.6,70,20,2.3,few clouds
221,Lorengau,PG,-2.0226,147.2712,84.92,69,99,5.93,moderate rain
222,Saskylakh,RU,71.9167,114.0833,30.74,83,92,8.37,overcast clouds
223,Taoudenni,ML,22.6783,-3.9836,89.08,18,10,11.14,clear sky
224,Bryan,US,30.6744,-96.37,78.8,78,90,11.5,overcast clouds
225,Oistins,BB,13.0667,-59.5333,78.8,65,40,19.57,scattered clouds
226,Gigmoto,PH,13.7796,124.39,83.03,64,68,3.36,broken clouds
227,Kamina,CD,-8.7386,24.9906,63.93,94,80,2.73,broken clouds
228,Lazaro Cardenas,MX,17.9583,-102.2,76.8,83,93,6.71,overcast clouds
229,Ancud,CL,-41.8697,-73.8203,59.0,100,90,10.36,fog
230,Tarakan,ID,3.3,117.6333,87.8,70,40,4.61,scattered clouds
231,Horodnytsya,UA,50.807,27.3168,35.26,85,23,7.96,few clouds
232,San Pedro De Macoris,DO,18.4616,-69.2972,73.99,88,20,4.61,few clouds
233,Roald,NO,62.5833,6.1333,37.4,75,6,18.41,clear sky
234,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,19.57,clear sky
